Front,Back,Tags
"What is econometrics?","Application of statistical methods to economic data. Formula: Econometrics = Economic Theory + Data + Statistics","L1 Foundations"
"What is the error term u and what does it contain?","Collects everything not in the model: omitted variables, unobservable factors, measurement error, random shocks, functional form imperfections","L1 Foundations"
"Correlation vs causation — why can't you infer causation from correlation?","Two variables can correlate because: A causes B, B causes A, both caused by C, or it's accidental. Need ceteris paribus + controlled variation to establish causation","L1 Foundations"
"What is ceteris paribus?","Holding all other relevant factors fixed. The core logic of regression — isolating the effect of one variable while controlling for others","L1 Foundations"
"Cross-sectional data","Observations on many different units at a single point in time. Example: wages of workers surveyed in 2024","L1 Data Types"
"Time series data","Observations on one or more variables over time. Example: GDP quarterly 2000–2024. Time order matters, serial correlation is a concern","L1 Data Types"
"Pooled cross-sectional data","Different units sampled at multiple time periods, then stacked. Units are NOT the same across periods. Example: household surveys from 1985 and 1990","L1 Data Types"
"Panel data","Same units observed across multiple time periods. Advantage: controls for unobserved time-invariant differences. Example: same firms tracked quarterly","L1 Data Types"
"Panel vs Pooled cross-section — key difference?","Panel = SAME units over time. Pooled cross-section = DIFFERENT units each period, stacked together","L1 Data Types"
"Simple random sampling","Every population member has equal probability of being selected","L1 Sampling"
"Systematic sampling","Select every k-th unit from an ordered list","L1 Sampling"
"Stratified sampling","Split population into subgroups (strata), then randomly sample within each group. Ensures all subgroups are represented","L1 Sampling"
"Cluster sampling","Randomly select entire groups (clusters); everyone inside is included. Differs from stratified: you sample groups, not within groups","L1 Sampling"
"Stratified vs Cluster sampling — key difference?","Stratified: groups predefined, sample WITHIN each group. Cluster: randomly select entire groups, include everyone inside","L1 Sampling"
"OLS formula for slope in simple regression","β̂₁ = Σ(xᵢ - x̄)(yᵢ - ȳ) / Σ(xᵢ - x̄)²","L2 Regression"
"OLS formula for intercept in simple regression","β̂₀ = ȳ - β̂₁x̄","L2 Regression"
"When does OLS fail to compute?","When there is no variation in X: Σ(xᵢ - x̄)² = 0. Also fails with perfect multicollinearity (X'X not invertible)","L2 Regression"
"Matrix formula for OLS in multiple regression","β̂ = (X'X)⁻¹X'y","L2 Regression"
"Zero conditional mean assumption","E(u|X) = 0. The average error does not depend on X. Critical for OLS to recover the ceteris paribus effect","L2 Regression"
"R² definition and interpretation","R² = 1 - SSR/SST. Fraction of sample variation in y explained by the model. Does NOT validate causality","L2 Regression"
"Adjusted R² — why use it over R²?","R² = 1 - [SSR/(n-k-1)] / [SST/(n-1)]. Penalizes unnecessary variables. R² never falls when adding regressors; adjusted R² can fall","L2 Regression"
"SST = SSE + SSR — what does each term mean?","SST = total variation in y. SSE = explained variation. SSR = unexplained variation (sum of squared residuals)","L2 Regression"
"Level-level model: formula and interpretation","y = β₀ + β₁x + u. One unit increase in x → β₁ unit change in y","L2 Functional Forms"
"Log-level model: formula and interpretation","log(y) = β₀ + β₁x + u. One unit increase in x → approximately 100β₁% change in y","L2 Functional Forms"
"Level-log model: formula and interpretation","y = β₀ + β₁log(x) + u. 1% increase in x → β₁/100 unit change in y","L2 Functional Forms"
"Log-log model: formula and interpretation","log(y) = β₀ + β₁log(x) + u. β₁ is an elasticity: 1% increase in x → β₁% change in y","L2 Functional Forms"
"If dependent variable is multiplied by constant c, what happens to coefficients?","Intercept and slope both multiplied by c","L2 Functional Forms"
"If independent variable is multiplied by constant c, what happens to its coefficient?","The slope is divided by c. Intercept unchanged","L2 Functional Forms"
"A1: Linearity in parameters — what does violation cause?","Model is misspecified. OLS estimates wrong functional form. Cannot apply standard OLS inference","L3 CLM Assumptions"
"A2: Random sampling — what does violation cause?","Serial correlation: error terms across observations are correlated. Standard errors are wrong, inference invalid","L3 CLM Assumptions"
"A3: No perfect multicollinearity — what does violation cause?","OLS cannot be computed. X'X is not invertible. Fix: drop one of the perfectly collinear variables","L3 CLM Assumptions"
"A4: Zero conditional mean — what does violation cause?","OLS coefficients are BIASED. Called endogeneity. Most common cause: omitted variable correlated with regressors","L3 CLM Assumptions"
"A5: Homoskedasticity — what does violation cause?","Coefficients remain UNBIASED. But standard errors are wrong → t-tests and p-values are invalid. Fix: robust standard errors","L3 CLM Assumptions"
